year,municipality,salaries,ext_time,sub_all,rent_bcl,rent_mef,publicity,activities,main_bcl,main_roads,main_other,cap_me,cap_trans,cap_build,cap_roads,cap_install,pe_land,pe_build
2006,MUNICIPALIDAD DE NICOYA,200017601.07,719199.55,23365346.0,,88483850.0,2048640.0,1195100.0,211091.0,0.0,,207085.0,154247.0,11141670.0,290820456.87,,0.0,
2006,MUNICIPALIDAD DE OREAMUNO,169068074.52,8292091.49,18959963.0,45000.0,71442890.0,867825.0,835892.3,961550.0,,,66988.16,0.0,,103738502.0,,139929113.0,
2006,MUNICIPALIDAD DE OROTINA,120932555.74,1439351.66,6495730.4,,1667000.0,554975.0,,750000.0,1139292.0,,,1700000.0,0.0,3295000.0,,,
2006,MUNICIPALIDAD DE OSA,81334740.29,2184274.41,4737080.0,,7197200.0,0.0,,,,,197251312.95,15199000.0,18306580.0,0.0,,,
2006,MUNICIPALIDAD DE PALMARES,99453693.88,1042304.67,9121320.0,,2353000.0,1044500.0,674900.0,1732500.0,12624217.8,343000.0,357000.0,0.0,65150.5,0.0,,0.0,
2006,MUNICIPALIDAD DE PARAISO,227249662.51,4025136.0,16734000.0,,5869620.0,0.0,4138345.42,2875800.0,,968850.0,990000.0,565195.7,2795000.0,15378100.0,,5000000.0,
2006,MUNICIPALIDAD DE PARRITA,83289985.43,4946236.99,5997000.0,,,1000000.0,1000000.0,9621459.1,44519880.77,3654211.0,0.0,0.0,,0.0,,,
2006,MUNICIPALIDAD DE PEREZ ZELEDON,393303727.06,25349791.2,15534136.45,3168000.0,123044304.92,5483492.0,28802337.57,4362379.27,,865000.0,285763608.5,12048121.0,3820000.0,19950000.0,,0.0,
2006,MUNICIPALIDAD DE POAS,98650490.93,1832820.0,10370700.0,,4081500.0,1749365.0,672817.0,,,,1707675.9,0.0,,,,478114.5,
2006,MUNICIPALIDAD DE POCOCI,257480283.81,19790852.09,25215861.7,4550000.0,24039931.0,2022019.31,579195.0,147048.0,,,368000.0,3304000.0,44108248.75,225809047.6,2975000.0,0.0,
2006,MUNICIPALIDAD DE PUNTARENAS,526396515.02,42590912.57,39698167.6,,47951448.0,1626530.0,576767.85,4153430.79,0.0,,113235095.0,46040980.0,4800000.0,360784174.4,,0.0,
2006,MUNICIPALIDAD DE PURISCAL,83363077.05,2175059.36,6586650.0,0.0,6537020.0,127500.0,0.0,21000.0,,,39450840.0,0.0,500000.0,8045000.0,,,
2006,MUNICIPALIDAD DE QUEPOS,141850667.78,2120397.45,13461291.4,,5675050.0,425861.0,250000.0,393100.0,6954440.51,6872690.31,,0.0,87121654.75,12726000.58,33307858.44,0.0,
2006,MUNICIPALIDAD DE SAN CARLOS,449222839.68,23545831.07,41323089.33,,137906763.93,10320644.73,9056100.51,5798379.8,28125788.5,195000.0,16173127.6,9831980.0,28699804.48,191351924.99,6637000.0,32199885.0,
2006,MUNICIPALIDAD DE SAN ISIDRO DE HEREDIA,100714310.96,5582869.0,14420962.0,,14163255.53,124070.0,550394.0,4000.0,680000.0,,45000.0,5731916.0,10706170.0,5100000.0,2000000.0,,
2006,MUNICIPALIDAD DE SAN JOSE,5565603780.79,272510662.5,92594665.02,156925533.69,63838415.55,32915766.87,178120169.3,44333124.79,9340121.38,50000.0,78057516.22,21103761.0,168327280.75,70945337.35,88435865.51,6588084.5,
2006,MUNICIPALIDAD DE SAN MATEO,34555469.14,232746.31,2325000.0,,25024181.43,,61500.0,,,0.0,32693850.0,0.0,2358850.0,7554603.0,,0.0,
2006,MUNICIPALIDAD DE SAN PABLO DE HEREDIA,151486023.43,9237266.57,8470800.16,,5500077.6,1899742.34,852966.0,2715398.77,0.0,11291586.09,,1914255.0,,,,,
2006,MUNICIPALIDAD DE SAN RAFAEL DE HEREDIA,134226997.07,5864946.92,11118504.71,250630.0,220000.0,899000.0,2863954.0,938725.0,272131.0,3668030.0,,30563777.0,2492811.0,29463424.05,,0.0,
2006,MUNICIPALIDAD DE SAN RAMON,267057796.02,869123.3,18893500.0,,75346100.0,2059020.0,2109214.15,522.05,0.0,0.0,1009999.0,15977570.0,0.0,8940200.0,,,
2006,MUNICIPALIDAD DE SANTA ANA,291861359.42,12042964.53,7450625.0,0.0,33226948.0,3321310.5,680000.0,975275.48,425017.26,765907.0,872745.0,12965229.0,24554124.0,419048182.7,40900880.0,,
2006,MUNICIPALIDAD DE SANTA BARBARA DE HEREDIA,112606086.59,678832.51,8971200.0,,425000.0,,94000.0,340000.0,,,,15000000.0,,0.0,,0.0,
2006,MUNICIPALIDAD DE SANTA CRUZ,222835810.15,10813081.39,35850760.89,,22890981.5,4707834.0,,2658000.0,409248.0,1310950.75,31902234.23,65858546.75,8572604.5,363981867.15,0.0,6000000.0,
2006,MUNICIPALIDAD DE SANTO DOMINGO DE HEREDIA,228696731.21,14080732.25,18122400.0,,35228044.24,330000.0,9537284.57,1398760.0,900000.0,336000.0,832800.0,,7295887.0,57139716.0,19899735.74,20000000.0,
2006,MUNICIPALIDAD DE SARAPIQUI,107406591.01,20393227.45,16655796.25,,40517686.12,2242130.2,5764519.53,20479014.45,7616727.0,3489924.3,,14000000.0,,114162700.0,,2900000.0,
2006,MUNICIPALIDAD DE SARCHI,78911414.81,878120.04,4151520.44,,2276658.0,,,,,,122997.5,1014000.0,415000.0,,,0.0,
2006,MUNICIPALIDAD DE SIQUIRRES,121708669.0,5391687.0,16027500.0,4824250.0,500000.0,1924039.0,2958687.0,1348600.0,0.0,0.0,1959806.0,0.0,5725000.0,90682320.0,3000000.0,6000000.0,
2006,MUNICIPALIDAD DE TALAMANCA,104308523.6,8253792.0,9522000.0,945000.0,24236469.5,500000.0,,,,,,,7700000.0,96421920.0,10500000.0,,
2006,MUNICIPALIDAD DE TARRAZU,48584342.33,72180.06,4692000.0,,23901749.48,575650.0,,,1922948.22,223756.74,,,,42235260.0,,3000000.0,
2006,MUNICIPALIDAD DE TIBAS,386741849.0,2586070.0,7644025.0,,9824214.0,1201365.0,816870.0,133432.0,0.0,,1493547.0,2969400.0,10816812.0,6532000.0,0.0,,
2006,MUNICIPALIDAD DE TILARAN,98084734.08,1992431.0,13159671.78,,79741175.7,582000.0,41048.0,3726481.65,3176250.0,379500.0,1222000.0,578831.55,460473.0,0.0,1479715.0,0.0,
2006,MUNICIPALIDAD DE TURRIALBA,225156439.98,28165228.25,19280250.0,240000.0,148691840.8,4694300.0,4662149.08,8822000.0,13928400.0,267000.0,51379431.5,5958620.0,,,,0.0,
2006,MUNICIPALIDAD DE TURRUBARES,29763328.04,225395.88,1420000.0,,,0.0,,150000.0,2039.0,,7239745.53,,925000.0,54100000.0,0.0,0.0,
2006,MUNICIPALIDAD DE UPALA,85008879.89,,8428320.0,900000.0,5890000.0,100000.0,97913.0,50277.0,,,68992.0,16564583.0,,144642884.0,,0.0,
2006,MUNICIPALIDAD DE VASQUEZ DE CORONADO,346135431.71,8410731.24,15650999.64,1907215.05,869269.0,2825507.5,1386556.0,,,,0.0,117256562.5,,39550000.0,,,
2006,MUNICIPALIDAD DE ZARCERO,51401193.0,4933542.0,3155500.0,,8002493.0,1047105.0,,392000.0,372652.0,981100.0,,1274000.0,,,,0.0,
2007,MUNICIPALIDAD DE ABANGARES,117753367.0,834051.6,6789000.0,100000.0,181468156.66,549405.0,9715287.0,1428915.0,,2500.0,18519443.0,15883224.84,3899045.51,4060500.0,3790100.0,0.0,
2007,MUNICIPALIDAD DE ACOSTA,59953961.13,10179875.05,3502000.0,,,,120790.0,321109.55,,,35962110.0,1550000.0,3092000.0,20053000.0,0.0,667422.0,
2007,MUNICIPALIDAD DE ALAJUELA,969872733.31,11189456.22,163054290.42,14914000.0,7742706.5,38569423.36,64055574.42,8118849.13,0.0,630425.7,11987931.73,51374546.5,74753435.39,17992530.0,61151272.6,473155455.0,
2007,MUNICIPALIDAD DE ALAJUELITA,169891886.14,1486317.0,12117600.0,,8287961.0,382110.0,150000.0,2866999.25,1508838.0,,0.0,53315969.0,,115188639.0,,,
2007,MUNICIPALIDAD DE ALVARADO DE PACAYAS,50654369.8,180429.3,2558160.0,,6671667.0,39888.0,,,0.0,,,,,,,,
2007,MUNICIPALIDAD DE ASERRI,167949351.78,5460987.82,15368760.0,,1676640.0,1722504.18,2784137.0,2170227.35,22247621.92,0.0,,8182915.48,,,0.0,39657947.0,
2007,MUNICIPALIDAD DE ATENAS,110156592.86,,11367298.8,,8471161.93,182382.66,4646931.02,669860.0,,,18816000.0,,,,,0.0,
2007,MUNICIPALIDAD DE BAGACES,91290628.69,10095260.72,7978972.11,,38647340.0,350000.0,2963669.0,10815147.35,1506180.0,630190.0,28002000.0,14560920.0,,0.0,0.0,,
2007,MUNICIPALIDAD DE BARVA,111782828.54,2696490.76,12007432.0,,100000.0,12750.0,,2700000.0,,1588500.0,0.0,6975375.0,,,1200000.0,0.0,
2007,MUNICIPALIDAD DE BELEN,359657818.68,18933736.68,21912868.42,10584385.45,14438550.0,5944952.13,44797450.52,16668063.44,10124318.0,12000.0,8885798.1,7382193.19,40878525.0,90499694.96,44289974.73,0.0,
2007,MUNICIPALIDAD DE BUENOS AIRES,82275089.17,770958.56,13007368.25,,73999242.0,570400.0,862598.0,17721492.0,,3454500.0,95357640.0,11620084.0,14969000.0,256016418.3,,0.0,
2007,MUNICIPALIDAD DE CARRILLO GUANACASTE,194733797.98,6438969.45,17890740.0,0.0,84635618.83,3764814.0,1772610.0,1420763.55,,328650.0,1741165.63,123493374.0,41711272.0,46969425.0,1184000.09,0.0,
2007,MUNICIPALIDAD DE CARTAGO,703035747.69,70516038.2,82069836.25,310000.0,47346971.65,5360885.0,16000330.0,26194272.52,16103000.0,36613238.0,410507862.29,340230245.2,130256796.0,107290080.0,61569011.72,0.0,
2007,MUNICIPALIDAD DE CAÑAS,157038996.96,17407334.1,9449999.0,,65545878.53,,2076890.55,3968000.0,3918000.0,905000.0,118645620.55,9100000.0,0.0,0.0,,,
2007,MUNICIPALIDAD DE CORREDORES,142945430.42,11856765.52,9202500.0,,24700000.0,1767970.0,1054020.0,,,,37823540.4,13608463.0,0.0,3080000.0,0.0,,
2007,MUNICIPALIDAD DE COTO BRUS,79495020.21,714433.31,4802200.0,,3759000.0,15790.0,,,,0.0,46770250.0,2798475.0,,213727520.0,0.0,,
2007,MUNICIPALIDAD DE CURRIDABAT,483593876.23,9669072.99,25870104.0,,2641740.0,,3103666.84,299500.0,11900000.0,,677803.0,118755900.0,12000000.0,64853520.0,,0.0,
2007,MUNICIPALIDAD DE DESAMPARADOS,766991369.74,54916847.23,69687169.5,,27177452.0,7708650.0,5550941.42,26205353.87,8005961.33,7326731.63,21719098.93,0.0,17717006.54,764677.56,,0.0,
2007,MUNICIPALIDAD DE DOTA,21661439.46,,3119900.0,,,,,10487.61,,,,,2162463.64,63587073.56,35781262.66,,
2007,MUNICIPALIDAD DE EL GUARCO,116545070.08,7700967.05,10454328.0,,9589000.0,1293240.0,6010667.0,,,,110610.0,71734237.5,14521736.0,5670000.0,0.0,0.0,
2007,MUNICIPALIDAD DE ESCAZU,504815461.24,29759801.31,42837835.94,47675049.16,93093599.99,6851285.55,2943390.69,8814290.2,,334700.0,1761000.0,114037982.95,20026226.8,276131210.19,4999844.0,0.0,
2007,MUNICIPALIDAD DE ESPARZA,167564091.94,7434065.82,17606869.06,,9239980.0,121196.0,2471338.09,1278800.0,850000.0,0.0,278977.05,33372185.36,1859712.2,55225804.6,0.0,,
2007,MUNICIPALIDAD DE FLORES,105346186.53,2062597.01,7976848.51,0.0,5380416.8,2155245.0,1892880.74,706746.64,26068134.9,5457560.66,1603000.0,1063976.0,1534158.08,29284872.61,2301200.0,,
2007,MUNICIPALIDAD DE GARABITO,215998867.7,11853842.06,10758420.0,,237764278.0,1226646.97,6857179.39,9808953.0,514000.0,,19888595.13,55365144.0,31710000.0,128303939.6,0.0,125068468.0,0.0
2007,MUNICIPALIDAD DE GOICOECHEA,677452432.72,13065816.76,46207803.85,,38115800.0,10346989.36,658224.55,65593449.62,27439209.0,28649622.43,135803345.87,8057797.0,75827481.64,8308690.0,40154613.2,,
2007,MUNICIPALIDAD DE GOLFITO,126423809.95,18297728.75,8137500.0,,122299712.06,709971.75,8797558.0,2997315.4,,,859950.55,24219290.0,48305685.0,319389786.35,3460000.0,0.0,
2007,MUNICIPALIDAD DE GRECIA,291782954.09,4283730.75,28698260.96,50000.0,25787861.0,1847157.0,2051175.0,,,1698000.0,0.0,768268.5,10352665.15,0.0,0.0,15356880.0,
2007,MUNICIPALIDAD DE GUACIMO,89305671.79,5850666.54,7264200.0,3303000.0,10016000.0,912370.0,1190716.1,6985840.0,160000.0,0.0,,8166300.0,9934000.0,11657000.0,0.0,,
2007,MUNICIPALIDAD DE GUATUSO,33230589.05,3920138.0,4686000.0,50000.0,179028158.0,769000.0,249000.0,433678.0,,800000.0,253430.0,10477397.0,,,915000.0,0.0,
2007,MUNICIPALIDAD DE HEREDIA,828195307.06,43769188.18,51846050.36,154784.9,5135860.0,1796804.95,3149574.0,6059448.16,0.0,76587.0,8503401.0,22282516.45,44250000.0,338679675.5,94747157.2,18821400.0,
2007,MUNICIPALIDAD DE HOJANCHA,57399810.0,1114316.0,7169662.0,,40127995.0,325000.0,6051756.1,0.0,,,,,,,,0.0,
2007,MUNICIPALIDAD DE JIMENEZ,39236685.16,906905.0,2708000.0,1290000.0,58159000.0,0.0,100000.0,5679640.0,35895000.0,1555000.0,0.0,0.0,4562000.0,,,,
2007,MUNICIPALIDAD DE LA CRUZ GUANACASTE,98559062.0,5102763.05,9712499.25,,16700450.0,999675.0,182000.0,98456.0,116959049.0,0.0,265354.0,17862317.0,322200.0,133592406.0,0.0,0.0,
2007,MUNICIPALIDAD DE LA UNION,371447444.1,14617826.2,45892576.6,,12598050.0,2057130.0,970848.1,1243040.25,0.0,90897.08,34886230.0,6055000.0,9698000.0,47387000.0,0.0,,
2007,MUNICIPALIDAD DE LEON CORTES,33742119.15,,3820608.0,,1395000.0,,,,1054000.0,,0.0,,3034525.16,79907255.24,5016918.69,,
2007,MUNICIPALIDAD DE LIBERIA,379266295.19,28693153.7,21271697.56,0.0,42655000.0,6658945.0,2746477.5,1540000.0,0.0,,748640.0,55297448.5,54647096.59,87962132.15,6799998.0,0.0,
2007,MUNICIPALIDAD DE LIMON,435753657.26,16770982.29,24293820.0,,35502118.4,17448236.95,5718382.72,23959639.07,194489408.18,24639995.89,2072766.0,15284685.0,,2500000.0,,,
2007,MUNICIPALIDAD DE LOS CHILES,45802563.94,3086985.76,5758146.06,2160000.0,57953670.16,0.0,245000.0,341400.0,,0.0,142350.0,0.0,1000000.0,17739400.0,,0.0,
2007,MUNICIPALIDAD DE MATINA,123412781.87,2519245.0,12135369.7,2825000.0,6338800.0,904460.0,5647223.28,1905000.0,,,,,3000000.0,113957484.7,10989274.5,0.0,
2007,MUNICIPALIDAD DE MONTES DE OCA,592236696.6,3172538.7,18805075.0,,55145300.0,640296.5,392735.65,971879.25,,4099775.0,3928716.0,32578400.0,32138163.75,78885601.0,47901201.85,,
2007,MUNICIPALIDAD DE MONTES DE ORO,78883988.46,4184447.78,6124200.0,,15516500.0,364445.0,2992060.4,3326393.0,6959900.0,6107360.0,23365000.0,12500000.0,,,8200000.0,0.0,
2007,MUNICIPALIDAD DE MORA,81846236.25,180982.44,8458500.0,7779500.0,59882000.0,1050634.0,,405000.0,23430875.0,,1848560.0,19972369.2,2270000.0,741510.0,628752.64,0.0,
2007,MUNICIPALIDAD DE MORAVIA,379731369.06,3256304.65,20770535.29,,6952000.0,0.0,406653.5,50000.0,,,20350.0,0.0,1000000.0,44342000.0,10509500.0,,
2007,MUNICIPALIDAD DE NANDAYURE,85062243.42,7699836.96,8857497.0,,41460000.0,874081.0,2565031.5,,,,210283.99,8992000.0,1800000.0,0.0,1989000.0,0.0,
