year,municipality,remu,serv,d_goods,total_expenses
2006,MUNICIPALIDAD DE TIBAS,671869317.0,130676331.0,34412318.0,1002782507.0
2006,MUNICIPALIDAD DE TILARAN,210559122.95999995,117337864.11,8062261.05,453863005.34000003
2006,MUNICIPALIDAD DE TURRIALBA,501154534.90000004,228282516.43,79077252.03,1206853778.23
2006,MUNICIPALIDAD DE TURRUBARES,53370747.980000004,4251661.59,64367550.53,133721711.31000002
2006,MUNICIPALIDAD DE UPALA,168318123.23,25424474.48,197020879.0,535933488.3600001
2006,MUNICIPALIDAD DE VASQUEZ DE CORONADO,598171156.6599998,162101703.95,161535041.38,1280705125.8199997
2006,MUNICIPALIDAD DE ZARCERO,95725867.0,28834007.5,10187768.0,255932671.91000003
2007,MUNICIPALIDAD DE ABANGARES,209089602.3499999,244645723.55,60597155.1,664813730.51
2007,MUNICIPALIDAD DE ACOSTA,116199202.25999999,22700477.369999997,65046724.9,326120274.49
2007,MUNICIPALIDAD DE ALAJUELA,2294090041.91,1690217278.15,915766215.2199999,6979129077.490001
2007,MUNICIPALIDAD DE ALAJUELITA,325381844.05,145616222.21999997,191596890.55,785555286.3399999
2007,MUNICIPALIDAD DE ALVARADO DE PACAYAS,93718751.20000003,16757758.03,21784750.0,225482958.88000003
2007,MUNICIPALIDAD DE ASERRI,358209049.4099997,133030071.60999997,56320365.11,725610879.2999997
2007,MUNICIPALIDAD DE ATENAS,201622056.45,40635809.86,33250742.759999998,451204423.86
2007,MUNICIPALIDAD DE BAGACES,186965473.34999985,118788942.26999998,54272220.14,554736152.4599997
2007,MUNICIPALIDAD DE BARVA,303166732.7400001,250553227.34999996,29119618.87,806185011.36
2007,MUNICIPALIDAD DE BELEN,834498138.7799995,777782134.3299999,281076536.01000005,2702645636.2699995
2007,MUNICIPALIDAD DE BUENOS AIRES,209251299.97000003,149462947.22,398106985.21,907617109.11
2007,MUNICIPALIDAD DE CARRILLO GUANACASTE,410522073.3899999,190639927.40000004,245057088.37,1131644838.04
2007,MUNICIPALIDAD DE CARTAGO,2666977867.92,850630408.55,1365210755.9099998,6440953580.48
2007,MUNICIPALIDAD DE CAÑAS,309645747.6700001,126067493.93,143488360.6,770008896.8800002
2007,MUNICIPALIDAD DE CORREDORES,341057943.3799999,97954314.75000001,76183140.74000001,772428009.8599999
2007,MUNICIPALIDAD DE COTO BRUS,153701384.0399999,28498244.25,266395205.95,620138279.48
2007,MUNICIPALIDAD DE CURRIDABAT,975992526.9400002,535117456.2000001,240972985.42000002,2352265679.8900003
2007,MUNICIPALIDAD DE DESAMPARADOS,1492147213.2099996,655717328.2500001,55825432.45,2894328345.909999
2007,MUNICIPALIDAD DE DOTA,48317764.91000001,12579273.25,104718787.32,199007130.13
2007,MUNICIPALIDAD DE EL GUARCO,229886470.23999998,162046626.52,114470118.22,660316996.38
2007,MUNICIPALIDAD DE ESCAZU,1395502299.0600004,592168832.5000001,497672929.90000004,3321169059.5500007
2007,MUNICIPALIDAD DE ESPARZA,400754450.15,68680365.29000002,151059842.88,864339595.0300001
2007,MUNICIPALIDAD DE FLORES,184550214.22,216272164.6,47339943.010000005,601257181.8199999
2007,MUNICIPALIDAD DE GARABITO,413730400.4899998,353471012.90000004,431278491.06,1850754097.2
2007,MUNICIPALIDAD DE GOICOECHEA,1303771918.2499998,706055440.4300001,361389073.85999995,3090897859.02
2007,MUNICIPALIDAD DE GOLFITO,318918483.0499999,314105280.42999995,474284788.6499999,1422978107.6699998
2007,MUNICIPALIDAD DE GRECIA,648875762.2299999,475025756.16999996,108032485.16999999,1629255852.68
2007,MUNICIPALIDAD DE GUACIMO,200858336.07999995,102058368.07,65522627.989999995,724512183.5300002
2007,MUNICIPALIDAD DE GUATUSO,82413429.05,202156322.0,15093653.0,397845009.2
2007,MUNICIPALIDAD DE HEREDIA,1303850346.7799997,1134263197.55,735518710.34,4263820515.7700005
2007,MUNICIPALIDAD DE HOJANCHA,129147352.4,73824219.89999999,7577457.92,332788369.78000003
2007,MUNICIPALIDAD DE JIMENEZ,84692707.70000003,124618090.97000001,5212000.0,323261060.23
2007,MUNICIPALIDAD DE LA CRUZ GUANACASTE,198037905.73999995,221009130.16,169062136.0,810648783.62
2007,MUNICIPALIDAD DE LA UNION,875342952.4600016,224838834.02000004,149279009.89999998,1767655577.0800018
2007,MUNICIPALIDAD DE LEON CORTES,72580874.46000005,10009751.5,90332217.51999998,215383404.26000002
2007,MUNICIPALIDAD DE LIBERIA,779225567.8000005,206358957.71,263589761.60000005,1837720858.9900005
2007,MUNICIPALIDAD DE LIMON,1040622077.1999996,849615275.53,176164371.26000002,2524419608.2399993
2007,MUNICIPALIDAD DE LOS CHILES,120417778.31,196158676.94,45184507.00999999,466204630.47999996
2007,MUNICIPALIDAD DE MATINA,289075816.5800001,231693226.1,147214121.08,1026630153.2900002
2007,MUNICIPALIDAD DE MONTES DE OCA,1298917662.3999994,257904802.82000005,240291198.4,2269599422.0499997
2007,MUNICIPALIDAD DE MONTES DE ORO,157003448.11999997,69660921.77,50487644.5,415964635.99
2007,MUNICIPALIDAD DE MORA,198725931.71000007,204199969.42000002,32341164.48,723944985.3200002
2007,MUNICIPALIDAD DE MORAVIA,680736466.3300004,206578748.51,85829234.38000001,1286590260.5700004
2007,MUNICIPALIDAD DE NANDAYURE,165402887.52999997,123705709.84000003,19598337.83,527038693.10999995
2007,MUNICIPALIDAD DE NARANJO,292651704.0699998,86411652.39,71501554.50999999,720582433.2699997
2007,MUNICIPALIDAD DE NICOYA,493453639.34999996,85895582.7,286116670.41999996,1077197951.37
2007,MUNICIPALIDAD DE OREAMUNO,351181857.63999987,106398072.31,38063144.12,664104660.9699998
2007,MUNICIPALIDAD DE OROTINA,295292007.6900001,100876425.58999999,263446754.26,797535187.5500002
2007,MUNICIPALIDAD DE OSA,235671313.97,159509902.88,510824430.19,1163845622.26
2007,MUNICIPALIDAD DE PALMARES,225225240.8400001,316454782.24,36866292.239999995,672956162.47
2007,MUNICIPALIDAD DE PARAISO,468426843.4300002,148611752.43,25096391.419999998,938077185.4100001
