year,municipality,remu,serv,d_goods,total_expenses
2016,MUNICIPALIDAD DE PALMARES,803499979.1999997,368399918.0799999,116319739.92,252443468941.83
2016,MUNICIPALIDAD DE PARAISO,1818579136.2999995,926155696.08,632747907.4199997,256590681138.62997
2016,MUNICIPALIDAD DE PARRITA,1028752996.4899999,298876490.36000013,93177560.36000001,258410512245.00998
2016,MUNICIPALIDAD DE PEREZ ZELEDON,3240728741.26,1177670888.79,1135867593.51,265755912649.88998
2016,MUNICIPALIDAD DE POAS,693085830.56,395758820.28,824376571.06,268200426065.94998
2016,MUNICIPALIDAD DE POCOCI,2738918224.32,1307937331.6100001,1136742948.6299999,276072536945.57996
2016,MUNICIPALIDAD DE PUNTARENAS,4252537360.89,1076353832.35,366765018.89,283579483678.11
2016,MUNICIPALIDAD DE PURISCAL,801146264.9300001,158824031.41,270836461.40999997,285342378846.87
2016,MUNICIPALIDAD DE QUEPOS,1426588072.29,834362797.9899998,232131126.13,288554895687.5
2016,MUNICIPALIDAD DE SAN CARLOS,4446359207.489999,1654402063.9999995,3721875593.1500006,301846194115.53
2016,MUNICIPALIDAD DE SAN ISIDRO DE HEREDIA,754521098.6400001,310115530.56,615885132.43,303792384178.12006
2016,MUNICIPALIDAD DE SAN JOSE,32747991786.58998,8487879467.51,4208413443.58,362734962419.87006
2016,MUNICIPALIDAD DE SAN MATEO,306849222.34,160225774.65,132543010.43,363484822301.72003
2016,MUNICIPALIDAD DE SAN PABLO DE HEREDIA,1062510617.5099998,682747659.5600001,236511355.04,365902280933.11005
2016,MUNICIPALIDAD DE SAN RAFAEL DE HEREDIA,1346371225.1200004,714203683.3299999,585391794.1999999,369194683366.27
2016,MUNICIPALIDAD DE SAN RAMON,2421171412.5200005,453413246.79,693077305.71,373984429196.08
2016,MUNICIPALIDAD DE SANTA ANA,3234861729.1900005,1307464088.15,1915082636.15,383473078304.10004
2016,MUNICIPALIDAD DE SANTA BARBARA DE HEREDIA,654146592.8099998,348503319.16,166067151.25,385061341842.15
2016,MUNICIPALIDAD DE SANTA CRUZ,3288677293.5899982,1057878640.3599999,895029735.69,393008858576.15
2016,MUNICIPALIDAD DE SANTO DOMINGO DE HEREDIA,1832225443.53,889395905.9300001,585977107.93,397261360735.98004
2016,MUNICIPALIDAD DE SARAPIQUI,851171950.8200004,769225480.98,2496865117.9500003,402191376179.23004
2016,MUNICIPALIDAD DE SARCHI,734553728.79,262774175.29000002,134595627.54999998,403729237223.38007
2016,MUNICIPALIDAD DE SIQUIRRES,1148602962.8099995,465319168.31000006,94152970.69,405977193196.7801
2016,MUNICIPALIDAD DE TALAMANCA,1025673488.5700002,439937172.96000004,434990015.24,408576482136.50006
2016,MUNICIPALIDAD DE TARRAZU,372925531.7099998,102163599.25,449671055.28999984,409691273432.0301
2016,MUNICIPALIDAD DE TIBAS,2513038746.29,858538180.6099999,117161367.87,414133347008.9601
2016,MUNICIPALIDAD DE TILARAN,839744077.0,222383686.49,410682508.71999997,416166557589.63007
2016,MUNICIPALIDAD DE TURRIALBA,1914465581.6900005,317616781.41999996,993364095.7799999,420351859978.60004
2016,MUNICIPALIDAD DE TURRUBARES,344706732.3800001,130748601.63000001,191419405.26,421100284882.87006
2016,MUNICIPALIDAD DE UPALA,900505284.5700002,487104889.65999997,498860924.58000004,423656468713.66003
2016,MUNICIPALIDAD DE VASQUEZ DE CORONADO,1537532035.1999998,402426729.37,77408801.21000002,426265679252.45
2016,MUNICIPALIDAD DE ZARCERO,543116515.8200002,131279481.17000002,32252310.14,427224609255.59
2017,MUNICIPALIDAD DE ABANGARES,1761906021.6700006,494494825.98000014,775861661.69,3661650289.4800005
2017,MUNICIPALIDAD DE ACOSTA,556130653.19,243723920.95,617750903.05,5555545290.93
2017,MUNICIPALIDAD DE ALAJUELA,8428307795.680001,9649544848.65,8009810522.87,38917881328.270004
